date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:37:32	182/182	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2013%20Apr%202019%2008:37:30%20GMT	http://ds-bluewhale.co.kr/robots.txt		(from )
17:37:32	2231/2231	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Apr%202019%2008:37:31%20GMT	http://ds-bluewhale.co.kr/	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/index.html	(from )
17:37:33	17349/17349	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2012%20Feb%202019%2008:17:24%20GMT	http://wcs.naver.net/wcslog.js	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/wcs.naver.net/wcslog.js	(from http://ds-bluewhale.co.kr/)
17:37:33	24339/24339	---MC-	200	added ('OK')	text/javascript	date:Sat,%2013%20Apr%202019%2008:37:32%20GMT	http://www.googleadservices.com/pagead/conversion.js	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/www.googleadservices.com/pagead/f.txt	(from http://ds-bluewhale.co.kr/)
17:37:34	5187/5187	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Apr%202019%2008:37:31%20GMT	http://ds-bluewhale.co.kr/mobile/	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/mobile/index.html	(from http://ds-bluewhale.co.kr/)
17:37:34	10717/10717	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Apr%202019%2008:37:32%20GMT	http://ds-bluewhale.co.kr/website/	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/website/index.html	(from http://ds-bluewhale.co.kr/)
17:37:36	20696/20696	---MCZ	200	added ('OK')	text/css	etag:W/%2219245b0-50d8-5a2a9d5f%22	http://ds-bluewhale.co.kr/mobile/css/swiper.min.css	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/mobile/css/swiper.min.css	(from http://ds-bluewhale.co.kr/mobile/)
17:37:36	4008/4008	---MCZ	200	added ('OK')	text/css	etag:W/%22192400b-fa8-5a2a9d5f%22	http://ds-bluewhale.co.kr/mobile/css/m.css	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/mobile/css/m.css	(from http://ds-bluewhale.co.kr/mobile/)
17:37:37	5187/5187	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Apr%202019%2008:37:35%20GMT	http://ds-bluewhale.co.kr/mobile/index.htm	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/mobile/index-2.html	(from http://ds-bluewhale.co.kr/mobile/)
17:37:38	4505/4505	---M--	200	added ('OK')	image/png	etag:%22192468b-1199-5a2a9d62%22	http://ds-bluewhale.co.kr/mobile/img/top_tel.png	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/mobile/img/top_tel.png	(from http://ds-bluewhale.co.kr/mobile/)
17:37:38	15596/15596	---M--	200	added ('OK')	image/png	etag:%221924682-3cec-5a2a9d61%22	http://ds-bluewhale.co.kr/mobile/img/call.png	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/mobile/img/call.png	(from http://ds-bluewhale.co.kr/mobile/)
17:37:38	7349/7349	---M--	200	added ('OK')	image/png	etag:%22192468a-1cb5-5a2a9d62%22	http://ds-bluewhale.co.kr/mobile/img/top_home.png	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/mobile/img/top_home.png	(from http://ds-bluewhale.co.kr/mobile/)
17:37:38	5275/5275	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Apr%202019%2008:37:37%20GMT	http://ds-bluewhale.co.kr/mobile/planning.htm	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/mobile/planning.html	(from http://ds-bluewhale.co.kr/mobile/)
17:37:39	5190/5190	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Apr%202019%2008:37:37%20GMT	http://ds-bluewhale.co.kr/mobile/invest.htm	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/mobile/invest.html	(from http://ds-bluewhale.co.kr/mobile/)
17:37:40	15827/15827	---M--	200	added ('OK')	image/jpeg	etag:%2219e0e70-3dd3-5a2a9d66%22	http://ds-bluewhale.co.kr/mobile/menu/menu01.jpg	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/mobile/menu/menu01.jpg	(from http://ds-bluewhale.co.kr/mobile/)
17:37:40	5148/5148	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Apr%202019%2008:37:39%20GMT	http://ds-bluewhale.co.kr/mobile/complex.htm	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/mobile/complex.html	(from http://ds-bluewhale.co.kr/mobile/)
17:37:42	22666/22666	---M--	200	added ('OK')	image/jpeg	etag:%2219e0e71-588a-5a2a9d66%22	http://ds-bluewhale.co.kr/mobile/menu/menu02.jpg	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/mobile/menu/menu02.jpg	(from http://ds-bluewhale.co.kr/mobile/)
17:37:43	282766/282766	---M-Z	200	added ('OK')	application/javascript	etag:%2254499a48-4508e%22	https://code.jquery.com/jquery-latest.js	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/code.jquery.com/jquery-latest.js	(from http://ds-bluewhale.co.kr/mobile/)
17:37:43	5401/5401	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Apr%202019%2008:37:40%20GMT	http://ds-bluewhale.co.kr/mobile/js.htm	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/mobile/js.html	(from http://ds-bluewhale.co.kr/mobile/)
17:37:43	17441/17441	---M--	200	added ('OK')	image/jpeg	etag:%2219e0e73-4421-5a2a9d66%22	http://ds-bluewhale.co.kr/mobile/menu/menu04.jpg	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/mobile/menu/menu04.jpg	(from http://ds-bluewhale.co.kr/mobile/)
17:37:43	22643/22643	---M--	200	added ('OK')	image/jpeg	etag:%2219e0e72-5873-5a2a9d66%22	http://ds-bluewhale.co.kr/mobile/menu/menu03.jpg	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/mobile/menu/menu03.jpg	(from http://ds-bluewhale.co.kr/mobile/)
17:37:43	5843/5843	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Apr%202019%2008:37:42%20GMT	http://ds-bluewhale.co.kr/mobile/guest.htm	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/mobile/guest.html	(from http://ds-bluewhale.co.kr/mobile/)
17:37:45	17561/17561	---M--	200	added ('OK')	image/jpeg	etag:%2219e0e74-4499-5a2a9d66%22	http://ds-bluewhale.co.kr/mobile/menu/menu05.jpg	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/mobile/menu/menu05.jpg	(from http://ds-bluewhale.co.kr/mobile/)
17:37:46	17312/17312	---M--	200	added ('OK')	image/jpeg	etag:%2219e0e75-43a0-5a2a9d67%22	http://ds-bluewhale.co.kr/mobile/menu/menu06.jpg	C:/Users/tyy/Desktop/blu/ds-bluewhale.co.kr/ds-bluewhale.co.kr/mobile/menu/menu06.jpg	(from http://ds-bluewhale.co.kr/mobile/)
